,sm,sm_uncertainty,flag,freqbandID,dnflag,mode,sensor,t0
2000-01-01,,,25,0,2,0,2,
2000-01-02,,,25,0,2,0,2,
2000-01-03,,,24,128,2,1,2,
2000-01-04,,,25,0,2,0,2,
2000-01-05,,,25,128,2,2,2,
2000-01-06,,,25,0,2,0,2,
2000-01-07,,,25,0,2,0,2,
2000-01-08,,,25,0,2,0,2,
2000-01-09,,,25,2,2,1,130,
2000-01-10,,,25,0,2,0,2,
2000-01-11,,,25,0,2,0,2,
2000-01-12,,,25,0,2,0,2,
2000-01-13,,,25,0,2,0,2,
2000-01-14,,,25,0,2,0,2,
2000-01-15,,,25,2,2,1,130,
2000-01-16,,,24,0,2,0,2,
2000-01-17,,,25,0,2,0,2,
2000-01-18,0.31381172,0.037333053,0,128,2,2,2,10974.208333333489
2000-01-19,,,24,128,2,1,2,
2000-01-20,,,25,0,2,0,2,
2000-01-21,,,25,2,2,1,130,
2000-01-22,,,25,0,2,0,2,
2000-01-23,,,25,0,2,0,2,
2000-01-24,,,25,0,2,0,2,
2000-01-25,,,25,2,2,1,130,
2000-01-26,,,25,0,2,0,2,
2000-01-27,,,25,0,2,0,2,
2000-01-28,,,25,2,2,1,130,
2000-01-29,,,25,0,2,0,2,
2000-01-30,0.30496383,0.03568229,0,128,2,2,2,10986.241666666698
2000-01-31,0.30663368,0.03537738,0,128,2,2,2,10987.233333333395
2000-02-01,0.2975886,0.035037197,0,128,2,2,2,10988.225000000093
2000-02-02,0.28879377,0.03486276,0,128,2,2,2,10989.21666666679
2000-02-03,0.3187705,0.034583345,0,128,2,2,2,10990.208333333489
2000-02-04,,,24,128,2,1,2,
2000-02-05,0.377815,0.034426827,0,128,2,2,2,10992.262500000186
2000-02-06,0.28915223,0.03436683,0,128,2,2,2,10993.254166666884
2000-02-07,0.27391252,0.034073345,0,128,2,2,2,10994.245833333116
2000-02-08,0.3117561,0.03414038,0,128,2,2,2,10995.233333333395
2000-02-09,0.34880838,0.034041043,0,128,2,2,2,10996.225000000093
2000-02-10,0.34543028,0.03395803,0,128,2,2,2,10997.21666666679
2000-02-11,0.3146752,0.033999696,0,128,2,2,2,10998.208333333489
2000-02-12,,,24,128,2,1,2,
2000-02-13,0.30022126,0.03395204,0,128,2,2,2,11000.262500000186
2000-02-14,0.2936132,0.033958122,0,128,2,2,2,11001.254166666884
2000-02-15,0.27178165,0.03401826,0,128,2,2,2,11002.245833333116
2000-02-16,,,17,130,2,3,130,
2000-02-17,0.28880656,0.033980582,0,128,2,2,2,11004.225000000093
2000-02-18,0.31710595,0.03402293,0,128,2,2,2,11005.21666666679
2000-02-19,0.3037789,0.03392461,0,128,2,2,2,11006.208333333489
2000-02-20,,,24,128,2,1,2,
2000-02-21,0.28374398,0.033940434,0,128,2,2,2,11008.262500000186
2000-02-22,,,17,130,2,3,130,
2000-02-23,0.30663243,0.033897363,0,128,2,2,2,11010.245833333116
2000-02-24,0.31875783,0.033749793,0,128,2,2,2,11011.237499999814
2000-02-25,0.38979304,0.033886813,0,128,2,2,2,11012.229166666511
2000-02-26,0.3247148,0.0339893,0,128,2,2,2,11013.21666666679
2000-02-27,0.28103295,0.033972763,0,128,2,2,2,11014.208333333489
2000-02-28,,,24,128,2,1,2,
2000-02-29,0.28690976,0.034173544,0,128,2,2,2,11016.262500000186
2000-03-01,0.2892045,0.034234926,0,128,2,2,2,11017.254166666884
2000-03-02,0.31108233,0.034185488,0,128,2,2,2,11018.245833333116
2000-03-03,0.30244482,0.03418234,0,128,2,2,2,11019.237499999814
2000-03-04,0.3165139,0.03416322,0,128,2,2,2,11020.229166666511
2000-03-05,,,25,130,3,2,130,
2000-03-06,,,17,128,2,3,2,
2000-03-07,,,24,128,2,1,2,
2000-03-08,0.3293033,0.03353182,0,128,2,2,2,11024.262500000186
2000-03-09,0.39390224,0.0333004,0,128,2,2,2,11025.254166666884
2000-03-10,0.37544194,0.03314,0,128,2,2,2,11026.245833333116
2000-03-11,,,24,128,2,1,2,
2000-03-12,,,25,130,2,3,130,
2000-03-13,0.36347282,0.032981828,0,128,2,2,2,11029.22083333321
2000-03-14,0.34297588,0.03291201,0,128,2,2,2,11030.212499999907
2000-03-15,,,24,128,2,1,2,
2000-03-16,0.35473192,0.03303438,0,128,2,2,2,11032.262500000186
2000-03-17,0.27901006,0.033080045,0,128,2,2,2,11033.254166666884
