,sm,sm_uncertainty,flag,freqbandID,dnflag,mode,sensor,t0
2000-01-01,0.31322658,0.02112252,0,128,2,3,2,10957.01733095292
2000-01-02,0.3031082,0.02090368,0,128,2,3,2,10958.004937586375
2000-01-03,0.27630588,0.028516266,0,128,2,2,2,10959.270833333023
2000-01-04,,,12,2,2,1,130,
2000-01-05,0.31115425,0.027568292,0,128,2,1,2,10960.737499999814
2000-01-06,0.2777833,0.019564502,0,128,2,3,2,10961.97791932989
2000-01-07,0.3093303,0.026759466,0,128,2,1,2,10962.72083333321
2000-01-08,,,8,0,2,0,2,
2000-01-09,0.26759422,0.01886209,0,128,2,3,2,10964.975447399076
2000-01-10,,,8,0,2,0,2,
2000-01-11,,,8,0,2,0,2,
2000-01-12,,,8,0,2,0,2,
2000-01-13,,,8,0,2,0,2,
2000-01-14,,,8,0,2,0,2,
2000-01-15,0.31776553,0.02373675,0,128,2,1,2,10970.72083333321
2000-01-16,0.2704626,0.023423959,0,128,2,1,2,10971.712499999907
2000-01-17,0.29303846,0.016362054,0,128,2,3,2,10972.993518730626
2000-01-18,0.3073815,0.016155606,0,128,2,3,2,10973.982632739935
2000-01-19,,,8,0,2,0,2,
2000-01-20,,,8,0,2,0,2,
2000-01-21,,,8,0,2,0,2,
2000-01-22,0.29257628,0.022785107,0,128,2,2,2,10978.245833333116
2000-01-23,0.2743428,0.022090878,0,128,2,1,2,10978.72083333321
2000-01-24,0.30888936,0.022056,0,128,2,1,2,10979.712499999907
2000-01-25,,,8,0,2,0,2,
2000-01-26,0.26530847,0.016743425,0,130,2,3,130,10982.127260840964
2000-01-27,0.29267633,0.022042096,0,128,2,2,2,10983.270833333489
2000-01-28,0.2803722,0.021721894,0,128,2,2,2,10984.262500000186
2000-01-29,0.2855612,0.021719767,0,128,2,2,2,10985.254166666884
2000-01-30,0.29554757,0.014858459,0,128,2,3,2,10985.976015529595
2000-01-31,0.2700077,0.020246979,0,128,2,1,2,10986.72083333321
2000-02-01,0.26182827,0.016028795,0,130,2,1,130,10987.793849691749
2000-02-02,0.26227424,0.020164153,0,128,2,1,2,10988.704166666605
2000-02-03,0.30721506,0.014382803,0,128,2,3,2,10989.981038695201
2000-02-04,0.30979112,0.020450618,0,128,2,2,2,10991.270833333489
2000-02-05,0.28817418,0.020386107,0,128,2,2,2,10992.262500000186
2000-02-06,0.30283222,0.014197305,0,128,2,3,2,10992.993330537342
2000-02-07,0.30905432,0.0140695395,0,128,2,3,2,10993.984302284662
2000-02-08,0.28004754,0.019684732,0,128,2,1,2,10994.72083333321
2000-02-09,0.29295576,0.019703196,0,128,2,1,2,10995.712499999907
2000-02-10,0.3073514,0.019611588,0,128,2,1,2,10996.704166666605
2000-02-11,0.29143253,0.013881616,0,128,2,3,2,10997.987457912881
2000-02-12,,,8,0,2,0,2,
2000-02-13,0.3084682,0.019548407,0,128,2,2,2,11000.262500000186
2000-02-14,0.31408143,0.026345864,0,2,2,1,128,11000.925562905613
2000-02-15,,,8,0,2,0,2,
2000-02-16,,,8,0,2,0,2,
2000-02-17,,,8,0,2,0,2,
2000-02-18,0.28979024,0.020669557,0,128,2,2,2,11005.291666666511
2000-02-19,0.32251376,0.019437313,0,128,2,1,2,11005.695833333302
2000-02-20,0.330405,0.01592761,0,130,2,3,130,11007.151462888345
2000-02-21,,,8,0,2,0,2,
2000-02-22,,,8,0,2,0,2,
2000-02-23,0.31220812,0.019486582,0,128,2,1,2,11009.733333333395
2000-02-24,,,8,0,2,0,2,
2000-02-25,0.27164644,0.019507255,0,128,2,1,2,11011.712499999907
2000-02-26,0.28873742,0.013412368,0,128,2,3,2,11013.014362244867
2000-02-27,0.28301662,0.012105463,0,130,2,3,130,11013.990449561737
2000-02-28,0.2774153,0.018570082,0,128,2,2,2,11015.270833333489
2000-02-29,0.27020478,0.018677903,0,128,2,2,2,11016.262500000186
2000-03-01,0.30223206,0.0100144055,0,128,2,1,2,11016.741666666698
2000-03-02,,,8,0,2,0,2,
2000-03-03,,,8,0,2,0,2,
2000-03-04,0.2719671,0.015495688,0,130,2,1,130,11019.77762924647
2000-03-05,,,8,0,2,0,2,
2000-03-06,0.31486288,0.018544158,0,128,2,1,2,11021.695833333302
2000-03-07,0.2811654,0.019938525,0,128,2,2,2,11023.270833333489
2000-03-08,0.29138923,0.019944321,0,128,2,2,2,11024.262500000186
2000-03-09,0.31554377,0.014006157,0,128,2,3,2,11024.976660833228
2000-03-10,0.28126025,0.015026329,0,128,2,3,2,11026.000654080883
2000-03-11,0.25340155,0.021872763,0,128,2,1,2,11026.725000000093
2000-03-12,0.254326,0.021897065,0,128,2,1,2,11027.71666666679
2000-03-13,0.26384997,0.0075368728,0,128,2,3,2,11028.777402666863
2000-03-14,0.2622577,0.007604745,0,128,2,3,2,11029.771835369524
2000-03-15,0.28323045,0.021858763,0,128,2,2,2,11031.270833333489
2000-03-16,0.28452024,0.021986725,0,128,2,2,2,11032.262500000186
2000-03-17,0.28754485,0.010522681,0,130,2,3,130,11032.88028855715
2000-03-18,0.2616872,0.011238005,0,128,2,3,2,11033.865179062355
2000-03-19,0.28742328,0.01471086,0,128,2,1,2,11034.725000000093
2000-03-20,0.2525065,0.016264098,0,130,2,1,130,11035.772849258967
2000-03-21,0.30639994,0.019100415,0,128,2,1,2,11036.708333333489
2000-03-22,0.2634737,0.015673783,0,128,2,3,2,11037.951786877122
2000-03-23,0.23239394,0.019050315,0,130,2,3,130,11039.151265805587
2000-03-24,0.2927002,0.023966474,0,128,2,2,2,11040.262500000186
2000-03-25,0.26566148,0.024103524,0,128,2,2,2,11041.254166666884
2000-03-26,,,9,128,2,2,2,
2000-03-27,,,8,0,2,0,2,
2000-03-28,0.31298807,0.024051018,0,128,2,1,2,11043.71666666679
2000-03-29,0.32299054,0.024139725,0,128,2,1,2,11044.708333333489
2000-03-30,0.31137592,0.017233275,0,128,2,3,2,11045.992639192846
2000-03-31,0.33944833,0.024557596,0,128,2,2,2,11047.270833333489
2000-04-01,0.2920279,0.023537893,0,128,2,2,2,11048.262500000186
2000-04-02,0.27220923,0.018055812,0,128,2,3,2,11049.017774327658
2000-04-03,0.27422205,0.018235777,0,128,2,3,2,11050.011869656853
2000-04-04,0.2687439,0.026489487,0,128,2,1,2,11050.725000000093
2000-04-05,0.2626238,0.021171035,0,130,2,1,130,11051.795272556134
2000-04-06,0.31511128,0.018346626,0,128,2,3,2,11053.024035739712
2000-04-07,0.28519934,0.018710816,0,128,2,3,2,11054.022027152125
2000-04-08,0.3026585,0.025609149,0,128,2,2,2,11055.270833333489
2000-04-09,0.25282875,0.025671214,0,128,2,2,2,11056.262500000186
2000-04-10,0.2960595,0.018883249,0,128,2,3,2,11057.008897680324
2000-04-11,0.2906418,0.016810918,0,130,2,3,130,11057.987899756059
2000-04-12,0.3173824,0.029425353,0,128,2,1,2,11058.725000000093
2000-04-13,,,8,0,2,0,2,
2000-04-14,0.3085722,0.019690173,0,128,2,3,2,11061.002233501524
2000-04-15,0.2885207,0.019926947,0,128,2,3,2,11061.958913597744
2000-04-16,0.268836,0.0301283,0,128,2,2,2,11063.270833333489
2000-04-17,0.29583785,0.030383077,0,128,2,2,2,11064.262500000186
2000-04-18,0.25150657,0.022792764,0,130,2,3,130,11065.105145033915
2000-04-19,0.30217236,0.021598132,0,128,2,3,2,11065.998965119012
2000-04-20,,,16,128,2,1,2,
2000-04-21,0.24204467,0.030782077,0,128,2,1,2,11067.712499999907
2000-04-22,0.29431045,0.021539858,0,128,2,3,2,11069.028890204616
2000-04-23,0.31865233,0.02132716,0,128,2,3,2,11070.025000362191
2000-04-24,0.28879902,0.027390098,0,128,2,2,2,11071.270833333489
2000-04-25,0.28102475,0.027121235,0,128,2,2,2,11072.262500000186
2000-04-26,0.27964747,0.030290134,0,128,2,1,2,11072.741666666698
2000-04-27,0.31026772,0.019111862,0,128,2,3,2,11074.008074657526
2000-04-28,0.3184496,0.028369578,0,128,2,1,2,11074.72083333321
2000-04-29,0.27139163,0.028963143,0,128,2,1,2,11075.712499999907
2000-04-30,0.2614965,0.020056803,0,128,2,3,2,11077.026549466886
2000-05-01,0.2523259,0.019985715,0,128,2,3,2,11078.025449228939
2000-05-02,0.24912587,0.02627634,0,128,2,2,2,11079.270833333489
2000-05-03,0.23981798,0.025754092,0,128,2,2,2,11080.262500000186
2000-05-04,0.23662432,0.019770518,0,128,2,3,2,11081.041710044723
2000-05-05,0.23227842,0.026169388,0,128,2,2,2,11082.245833333116
2000-05-06,0.23516728,0.03095723,0,128,2,1,2,11082.72083333321
2000-05-07,0.24506812,0.031262323,0,128,2,1,2,11083.712499999907
