,sm,sm_uncertainty,flag,freqbandID,dnflag,mode,sensor,t0
2000-01-01,0.3107433,0.01186718,0,128,2,3,2,10956.990800396074
2000-01-02,0.30009905,0.016707122,0,128,2,1,2,10957.695833333302
2000-01-03,0.2983644,0.011948402,0,128,2,3,2,10958.971815499477
2000-01-04,0.31323078,0.016747981,0,128,2,1,2,10959.679166666698
2000-01-05,,,8,0,2,0,2,
2000-01-06,0.30838886,0.017107286,0,128,2,2,2,10962.241666666698
2000-01-07,0.30264992,0.016824896,0,128,2,1,2,10962.72083333321
2000-01-08,0.31516236,0.016784478,0,128,2,1,2,10963.712499999907
2000-01-09,0.31628865,0.011958122,0,128,2,3,2,10964.990813234821
2000-01-10,,,8,0,2,0,2,
2000-01-11,,,8,0,2,0,2,
2000-01-12,0.29185197,0.01721556,0,128,2,2,2,10968.258333333302
2000-01-13,,,8,0,2,0,2,
2000-01-14,,,9,2,2,1,130,
2000-01-15,0.31470338,0.012016655,0,128,2,3,2,10970.97154627461
2000-01-16,0.31588444,0.016776437,0,128,2,1,2,10971.712499999907
2000-01-17,,,8,0,2,0,2,
2000-01-18,0.29943544,0.011990408,0,128,2,3,2,10973.978837948292
2000-01-19,0.30392548,0.011941221,0,128,2,3,2,10974.970028248616
2000-01-20,0.30941594,0.017168678,0,128,2,2,2,10976.262500000186
2000-01-21,,,9,2,2,1,130,
2000-01-22,0.30778697,0.017181374,0,128,2,2,2,10978.241666666698
2000-01-23,0.28562188,0.017142916,0,128,2,2,2,10979.233333333395
2000-01-24,,,8,0,2,0,2,
2000-01-25,,,9,0,2,0,2,
2000-01-26,,,9,0,2,0,2,
2000-01-27,,,8,0,2,0,2,
2000-01-28,,,9,0,2,0,2,
2000-01-29,0.29583538,0.016515562,0,128,2,2,2,10985.254166666884
2000-01-30,,,8,0,2,0,2,
2000-01-31,0.330305,0.016362812,0,128,2,2,2,10987.233333333395
2000-02-01,0.2942728,0.016346144,0,128,2,1,2,10987.71666666679
2000-02-02,,,1,128,2,3,2,
2000-02-03,0.2962995,0.011510765,0,128,2,3,2,10989.988380946219
2000-02-04,0.30546513,0.01144213,0,128,2,3,2,10990.98012177227
2000-02-05,0.2905287,0.0114074005,0,128,2,3,2,10991.972092892509
2000-02-06,0.31764972,0.011378433,0,128,2,3,2,10992.963106447365
2000-02-07,0.2830644,0.0160579,0,128,2,2,2,10994.245833333116
2000-02-08,0.31747204,0.011282282,0,128,2,3,2,10994.98336184211
2000-02-09,0.29417753,0.016009582,0,128,2,1,2,10995.71666666679
2000-02-10,,,8,0,2,0,2,
2000-02-11,,,8,0,2,0,2,
2000-02-12,0.31569085,0.015710939,0,128,2,1,2,10998.6875
2000-02-13,0.29954845,0.015480628,0,128,2,2,2,11000.262500000186
2000-02-14,,,8,0,2,0,2,
2000-02-15,0.30949077,0.015295843,0,128,2,2,2,11002.245833333116
2000-02-16,0.3360613,0.01551627,0,128,2,1,2,11002.725000000093
2000-02-17,,,8,0,2,0,2,
2000-02-18,,,8,0,2,0,2,
2000-02-19,0.27729917,0.010750286,0,128,2,3,2,11005.994280315936
2000-02-20,,,8,0,2,0,2,
2000-02-21,,,8,0,2,0,2,
2000-02-22,0.28153974,0.014876259,0,128,2,2,2,11009.254166666884
2000-02-23,0.30771533,0.014863248,0,128,2,2,2,11010.245833333116
2000-02-24,0.3140276,0.014734276,0,128,2,2,2,11011.237499999814
2000-02-25,0.33534607,0.014963529,0,128,2,1,2,11011.71666666679
2000-02-26,,,8,0,2,0,2,
2000-02-27,0.3103747,0.010359169,0,128,2,3,2,11013.994841502514
2000-02-28,0.27904087,0.010320023,0,128,2,3,2,11014.985330535099
2000-02-29,0.28610888,0.014565867,0,128,2,1,2,11015.679166666698
2000-03-01,0.31159005,0.010170862,0,128,2,3,2,11016.965497195255
2000-03-02,,,8,0,2,0,2,
