,sm,sm_uncertainty,flag,freqbandID,dnflag,mode,sensor,t0
2000-01-01,,,24,0,2,0,2,
2000-01-02,,,24,0,2,0,2,
2000-01-03,,,24,0,2,0,2,
2000-01-04,,,24,128,2,1,2,
2000-01-05,,,24,0,2,0,2,
2000-01-06,0.296517,0.04081557,0,128,2,2,2,10962.241666666698
2000-01-07,0.28018433,0.04089408,0,128,2,2,2,10963.233333333395
2000-01-08,,,24,128,2,1,2,
2000-01-09,,,25,0,2,0,2,
2000-01-10,,,24,128,2,1,2,
2000-01-11,0.23184353,0.0406435,0,128,2,2,2,10967.270833333489
2000-01-12,,,25,128,2,1,2,
2000-01-13,0.30032662,0.040357772,0,128,2,2,2,10969.254166666884
2000-01-14,,,8,0,2,0,2,
2000-01-15,,,24,128,2,1,2,
2000-01-16,0.24079876,0.039456874,0,128,2,2,2,10972.225000000093
2000-01-17,,,8,0,2,0,2,
2000-01-18,,,24,128,2,1,2,
2000-01-19,,,24,128,2,1,2,
2000-01-20,,,24,0,2,0,2,
2000-01-21,,,24,0,2,0,2,
2000-01-22,0.30804774,0.039113652,0,128,2,2,2,10978.245833333116
2000-01-23,0.30998164,0.038859796,0,128,2,2,2,10979.237499999814
2000-01-24,,,24,0,2,0,2,
2000-01-25,,,25,0,2,0,2,
2000-01-26,,,24,0,2,0,2,
2000-01-27,,,9,0,2,0,2,
2000-01-28,,,25,128,2,1,2,
2000-01-29,,,24,0,2,0,2,
2000-01-30,,,8,0,2,0,2,
2000-01-31,,,24,128,2,1,2,
2000-02-01,0.29404262,0.03805437,0,128,2,2,2,10988.229166666511
2000-02-02,,,24,128,2,1,2,
2000-02-03,,,8,0,2,0,2,
2000-02-04,0.26617497,0.037152685,0,128,2,2,2,10991.270833333489
2000-02-05,0.2896279,0.037126046,0,128,2,2,2,10992.262500000186
2000-02-06,0.26734343,0.037094835,0,128,2,2,2,10993.254166666884
2000-02-07,0.30631247,0.037013773,0,128,2,2,2,10994.245833333116
2000-02-08,,,24,0,2,0,2,
2000-02-09,,,24,0,2,0,2,
2000-02-10,,,24,128,2,1,2,
2000-02-11,,,24,0,2,0,2,
2000-02-12,0.28149772,0.036366448,0,128,2,2,2,10999.270833333489
2000-02-13,0.26267564,0.036216784,0,128,2,2,2,11000.262500000186
2000-02-14,,,24,0,2,0,2,
2000-02-15,0.28892806,0.036323126,0,128,2,2,2,11002.245833333116
2000-02-16,,,24,128,2,1,2,
2000-02-17,,,24,0,2,0,2,
2000-02-18,,,24,0,2,0,2,
2000-02-19,,,24,128,2,1,2,
2000-02-20,0.27939275,0.03486187,0,128,2,2,2,11007.270833333489
2000-02-21,,,24,128,2,1,2,
2000-02-22,,,24,0,2,0,2,
2000-02-23,0.27209646,0.03474979,0,128,2,2,2,11010.245833333116
2000-02-24,,,8,0,2,0,2,
2000-02-25,,,24,0,2,0,2,
2000-02-26,,,24,128,2,1,2,
2000-02-27,,,24,0,2,0,2,
2000-02-28,0.24802601,0.035019744,0,128,2,2,2,11015.270833333489
2000-02-29,0.21196762,0.034814596,0,128,2,2,2,11016.262500000186
2000-03-01,0.24099237,0.034765378,0,128,2,2,2,11017.254166666884
2000-03-02,,,8,0,2,0,2,
2000-03-03,,,24,128,2,1,2,
2000-03-04,,,24,0,2,0,2,
2000-03-05,,,28,130,2,1,130,
2000-03-06,,,8,0,2,0,2,
2000-03-07,0.26904267,0.035179384,0,128,2,2,2,11023.270833333489
2000-03-08,0.2430163,0.03534125,0,128,2,2,2,11024.262500000186
2000-03-09,0.2435308,0.035700314,0,128,2,2,2,11025.254166666884
2000-03-10,0.28811607,0.035765722,0,128,2,2,2,11026.245833333116
2000-03-11,,,24,0,2,0,2,
2000-03-12,,,24,0,2,0,2,
2000-03-13,,,24,128,2,1,2,
2000-03-14,,,24,128,2,1,2,
2000-03-15,0.250767,0.036082864,0,128,2,2,2,11031.270833333489
2000-03-16,0.259441,0.036338806,0,128,2,2,2,11032.262500000186
2000-03-17,0.26891518,0.03648243,0,128,2,2,2,11033.254166666884
2000-03-18,0.24611445,0.03649181,0,128,2,2,2,11034.245833333116
2000-03-19,0.31154138,0.036724605,0,128,2,2,2,11035.237499999814
2000-03-20,0.26966023,0.036977228,0,128,2,2,2,11036.229166666511
2000-03-21,,,24,128,2,1,2,
2000-03-22,,,24,0,2,0,2,
2000-03-23,0.2417709,0.037687365,0,128,2,2,2,11039.270833333489
2000-03-24,0.3163614,0.037898455,0,128,2,2,2,11040.262500000186
2000-03-25,0.23963247,0.038200412,0,128,2,2,2,11041.254166666884
2000-03-26,0.30396277,0.03816386,0,128,2,2,2,11042.245833333116
2000-03-27,0.29379243,0.038186952,0,128,2,2,2,11043.237499999814
2000-03-28,,,25,0,2,0,2,
2000-03-29,,,24,0,2,0,2,
2000-03-30,,,24,128,2,1,2,
2000-03-31,,,25,128,2,2,2,
2000-04-01,0.246759,0.038877226,0,128,2,2,2,11048.262500000186
2000-04-02,0.28789034,0.038842786,0,128,2,2,2,11049.254166666884
2000-04-03,,,8,0,2,0,2,
2000-04-04,0.2898198,0.0387977,0,128,2,2,2,11051.237499999814
2000-04-05,,,24,128,2,1,2,
2000-04-06,0.32911438,0.024361094,0,2,2,1,128,11052.90187945636
2000-04-07,,,24,128,2,1,2,
2000-04-08,0.24991763,0.034328,0,128,2,2,2,11055.270833333489
2000-04-09,0.25662166,0.03438568,0,128,2,2,2,11056.262500000186
2000-04-10,,,24,0,2,0,2,
2000-04-11,0.269282,0.03729565,0,128,2,2,2,11058.245833333116
2000-04-12,0.25946063,0.037463736,0,128,2,2,2,11059.237499999814
2000-04-13,0.25493872,0.037497904,0,128,2,2,2,11060.229166666511
2000-04-14,,,8,0,2,0,2,
2000-04-15,,,24,128,2,1,2,
2000-04-16,0.2407524,0.037658345,0,128,2,2,2,11063.270833333489
2000-04-17,,,24,128,2,1,2,
2000-04-18,0.34616187,0.037838183,0,128,2,2,2,11065.254166666884
2000-04-19,0.27907464,0.03788249,0,128,2,2,2,11066.245833333116
2000-04-20,0.2716729,0.038171187,0,128,2,2,2,11067.237499999814
2000-04-21,,,24,128,2,1,2,
2000-04-22,,,24,128,2,1,2,
2000-04-23,,,24,128,2,1,2,
2000-04-24,0.24452762,0.03645208,0,128,2,2,2,11071.270833333489
2000-04-25,0.25581086,0.021642383,0,130,2,3,130,11072.028756024316
2000-04-26,,,24,0,2,0,2,
2000-04-27,0.21911581,0.037024785,0,128,2,2,2,11074.245833333116
2000-04-28,0.25313905,0.03882346,0,128,2,2,2,11075.237499999814
2000-04-29,0.30176598,0.039062567,0,128,2,2,2,11076.229166666511
2000-04-30,,,8,0,2,0,2,
2000-05-01,,,24,128,2,1,2,
2000-05-02,0.2518926,0.03967852,0,128,2,2,2,11079.270833333489
2000-05-03,0.18228014,0.041089773,0,128,2,2,2,11080.262500000186
2000-05-04,0.18564186,0.04190364,0,128,2,2,2,11081.254166666884
2000-05-05,0.18184987,0.041918002,0,128,2,2,2,11082.245833333116
2000-05-06,0.2867827,0.04198181,0,128,2,2,2,11083.237499999814
2000-05-07,0.2930046,0.042114906,0,128,2,2,2,11084.229166666511
2000-05-08,,,28,2,2,1,130,
2000-05-09,,,24,128,2,1,2,
2000-05-10,0.22315781,0.045131598,0,128,2,2,2,11087.270833333489
2000-05-11,0.21721981,0.04453862,0,128,2,2,2,11088.262500000186
2000-05-12,0.20492393,0.044011243,0,128,2,2,2,11089.254166666884
2000-05-13,,,8,0,2,0,2,
2000-05-14,0.27460676,0.024890646,0,130,2,3,130,11091.010666484479
2000-05-15,0.178064,0.04413677,0,128,2,2,2,11092.225000000093
2000-05-16,,,24,128,2,1,2,
2000-05-17,,,24,128,2,1,2,
2000-05-18,0.21640262,0.043418318,0,128,2,2,2,11095.270833333489
2000-05-19,,,24,128,2,1,2,
2000-05-20,,,24,0,2,0,2,
2000-05-21,0.26971972,0.043569885,0,128,2,2,2,11098.241666666698
2000-05-22,,,24,128,2,1,2,
2000-05-23,0.2291108,0.04331567,0,128,2,2,2,11100.225000000093
2000-05-24,,,24,0,2,0,2,
2000-05-25,,,24,0,2,0,2,
2000-05-26,0.20073746,0.043318808,0,128,2,2,2,11103.270833333489
2000-05-27,0.18464246,0.04328197,0,128,2,2,2,11104.262500000186
2000-05-28,0.23332489,0.043227382,0,128,2,2,2,11105.25
2000-05-29,0.25808632,0.04287208,0,128,2,2,2,11106.241666666698
2000-05-30,,,24,128,2,1,2,
2000-05-31,,,24,0,2,0,2,
2000-06-01,,,8,0,2,0,2,
2000-06-02,,,24,128,2,1,2,
2000-06-03,0.19534062,0.041474365,0,128,2,2,2,11111.270833333489
2000-06-04,0.17128511,0.041416068,0,128,2,2,2,11112.258333333302
2000-06-05,0.21382128,0.04129094,0,128,2,2,2,11113.25
2000-06-06,0.20597488,0.041207973,0,128,2,2,2,11114.241666666698
2000-06-07,0.2358175,0.041091,0,128,2,2,2,11115.233333333395
2000-06-08,,,24,128,2,1,2,
2000-06-09,,,24,128,2,1,2,
2000-06-10,0.17644398,0.039342895,0,128,2,2,2,11118.27916666679
2000-06-11,0.15878524,0.03925676,0,128,2,2,2,11119.266666666605
2000-06-12,0.22442192,0.03841557,0,128,2,2,2,11120.258333333302
2000-06-13,0.27382556,0.038856015,0,128,2,2,2,11121.25
2000-06-14,0.30175805,0.03748247,0,128,2,2,2,11122.241666666698
2000-06-15,0.3399886,0.033005916,0,2,2,1,128,11122.901887755375
2000-06-16,,,24,128,2,1,2,
2000-06-17,,,24,128,2,1,2,
2000-06-18,0.20652404,0.036878124,0,128,2,2,2,11126.274999999907
2000-06-19,0.20499647,0.038791902,0,128,2,2,2,11127.266666666605
2000-06-20,0.21606606,0.03910086,0,128,2,2,2,11128.258333333302
2000-06-21,0.23431331,0.039103623,0,128,2,2,2,11129.25
2000-06-22,0.17668436,0.04007949,0,128,2,2,2,11130.241666666698
2000-06-23,0.11825433,0.04002028,0,128,2,2,2,11131.233333333395
2000-06-24,,,24,128,2,1,2,
2000-06-25,,,24,128,2,1,2,
2000-06-26,0.2156628,0.04173307,0,128,2,2,2,11134.274999999907
2000-06-27,,,24,128,2,1,2,
2000-06-28,0.24614641,0.04161906,0,128,2,2,2,11136.258333333302
2000-06-29,0.23195872,0.041184187,0,128,2,2,2,11137.25
2000-06-30,0.3434027,0.041247446,0,128,2,2,2,11138.241666666698
2000-07-01,0.34316543,0.041474894,0,128,2,2,2,11139.233333333395
2000-07-02,,,24,128,2,1,2,
2000-07-03,,,24,128,2,1,2,
2000-07-04,0.20239657,0.041158088,0,128,2,2,2,11142.274999999907
2000-07-05,,,24,128,2,1,2,
2000-07-06,0.21934968,0.04168788,0,128,2,2,2,11144.258333333302
2000-07-07,0.23312567,0.041714042,0,128,2,2,2,11145.25
2000-07-08,0.25875288,0.043761145,0,128,2,2,2,11146.241666666698
2000-07-09,0.34133202,0.043526683,0,128,2,2,2,11147.229166666511
2000-07-10,,,24,128,2,1,2,
2000-07-11,,,24,128,2,1,2,
2000-07-12,0.25108263,0.04235227,0,128,2,2,2,11150.274999999907
2000-07-13,0.20409597,0.042424876,0,128,2,2,2,11151.266666666605
2000-07-14,0.27104127,0.042365063,0,128,2,2,2,11152.258333333302
2000-07-15,0.29443973,0.042487428,0,128,2,2,2,11153.245833333116
2000-07-16,0.28419742,0.04244293,0,128,2,2,2,11154.237499999814
2000-07-17,0.2865725,0.042458523,0,128,2,2,2,11155.229166666511
2000-07-18,,,24,128,2,1,2,
2000-07-19,,,24,128,2,1,2,
2000-07-20,0.20903167,0.041339923,0,128,2,2,2,11158.274999999907
2000-07-21,0.21455283,0.04158937,0,128,2,2,2,11159.262500000186
2000-07-22,0.23336293,0.041385163,0,128,2,2,2,11160.254166666884
2000-07-23,0.25974756,0.039751068,0,128,2,2,2,11161.245833333116
2000-07-24,0.20683677,0.044877876,0,128,2,2,2,11162.237499999814
2000-07-25,,,16,128,2,2,2,
2000-07-26,,,24,128,2,1,2,
2000-07-27,,,24,128,2,1,2,
2000-07-28,0.23832606,0.04492443,0,128,2,2,2,11166.270833333489
2000-07-29,,,16,128,2,2,2,
2000-07-30,,,16,128,2,2,2,
2000-07-31,,,16,128,2,2,2,
2000-08-01,,,24,128,2,1,2,
2000-08-02,,,16,128,2,2,2,
2000-08-03,,,24,128,2,1,2,
2000-08-04,,,24,128,2,1,2,
2000-08-05,,,16,128,2,2,2,
2000-08-06,,,16,128,2,2,2,
2000-08-07,0.25789735,0.029105185,0,128,2,2,2,11176.254166666884
2000-08-08,0.2360867,0.028997032,0,128,2,2,2,11177.245833333116
2000-08-09,0.30900598,0.0308181,0,128,2,2,2,11178.237499999814
2000-08-10,0.24039842,0.03294603,0,128,2,2,2,11179.229166666511
2000-08-11,,,24,128,2,1,2,
2000-08-12,,,24,128,2,1,2,
2000-08-13,0.2251853,0.029463038,0,128,2,2,2,11182.270833333489
2000-08-14,0.16752958,0.029547185,0,128,2,2,2,11183.262500000186
2000-08-15,,,24,0,2,0,2,
2000-08-16,0.22283556,0.0339797,0,128,2,2,2,11185.241666666698
2000-08-17,0.24387957,0.033955473,0,128,2,2,2,11186.233333333395
2000-08-18,,,24,128,2,1,2,
2000-08-19,,,24,128,2,1,2,
2000-08-20,,,24,128,2,1,2,
2000-08-21,,,24,128,2,1,2,
2000-08-22,0.18946646,0.039520036,0,128,2,2,2,11191.258333333302
2000-08-23,0.19367872,0.039068125,0,128,2,2,2,11192.25
2000-08-24,0.17471367,0.024222134,0,130,2,3,130,11193.034252006095
2000-08-25,0.20790602,0.04116095,0,128,2,2,2,11194.233333333395
2000-08-26,,,24,128,2,1,2,
2000-08-27,,,8,0,2,0,2,
2000-08-28,0.22078353,0.04299028,0,128,2,2,2,11197.279166667257
2000-08-29,0.17592901,0.042944,0,128,2,2,2,11198.266666666605
2000-08-30,0.20311773,0.042744953,0,128,2,2,2,11199.258333333302
2000-08-31,0.2828798,0.04253755,0,128,2,2,2,11200.25
2000-09-01,0.3211976,0.039252795,0,128,2,2,2,11201.241666666698
2000-09-02,0.33525476,0.03919596,0,128,2,2,2,11202.233333333395
2000-09-03,,,24,128,2,1,2,
2000-09-04,,,24,128,2,1,2,
2000-09-05,0.21541528,0.039104033,0,128,2,2,2,11205.274999999907
2000-09-06,0.21189663,0.04126543,0,128,2,2,2,11206.266666666605
2000-09-07,0.21638909,0.04147893,0,128,2,2,2,11207.258333333302
2000-09-08,,,8,0,2,0,2,
2000-09-09,0.3336167,0.042984307,0,128,2,2,2,11209.241666666698
2000-09-10,0.33334577,0.04273083,0,128,2,2,2,11210.233333333395
2000-09-11,,,24,128,2,1,2,
2000-09-12,0.15851648,0.032979295,0,2,2,1,128,11211.903964873403
2000-09-13,0.19269772,0.044097804,0,128,2,2,2,11213.274999999907
2000-09-14,0.19541183,0.04542577,0,128,2,2,2,11214.266666666605
2000-09-15,0.19486277,0.045820218,0,128,2,2,2,11215.258333333302
2000-09-16,0.19183014,0.045391124,0,128,2,2,2,11216.25
2000-09-17,0.26232067,0.0444706,0,128,2,2,2,11217.237499999814
