,sm,sm_uncertainty,flag,freqbandID,dnflag,mode,sensor,t0
2000-01-01,0.28938085,0.018461851,0,128,2,3,2,10957.009125265293
2000-01-02,0.28552455,0.025880558,0,128,2,2,2,10958.274999999907
2000-01-03,0.24545208,0.018729847,0,128,2,3,2,10958.990851683542
2000-01-04,0.2701875,0.01873125,0,128,2,3,2,10959.98396494938
2000-01-05,0.24480982,0.027362384,0,128,2,1,2,10960.670833333395
2000-01-06,0.2636958,0.02642858,0,128,2,2,2,10962.241666666698
2000-01-07,0.22219598,0.027858922,0,128,2,1,2,10962.72083333321
2000-01-08,0.23474503,0.028065192,0,128,2,1,2,10963.712499999907
2000-01-09,0.22568935,0.028206928,0,128,2,1,2,10964.704166666605
2000-01-10,0.24781914,0.019488728,0,128,2,3,2,10966.003092396539
2000-01-11,0.25242043,0.019596603,0,128,2,3,2,10966.991353747435
2000-01-12,0.24053532,0.019682316,0,128,2,3,2,10967.982469066512
2000-01-13,0.260713,0.019690076,0,128,2,3,2,10968.970641843043
2000-01-14,,,9,130,2,3,130,
2000-01-15,0.25014177,0.01992235,0,128,2,3,2,10970.985905796755
2000-01-16,0.23928894,0.028595814,0,128,2,1,2,10971.712499999907
2000-01-17,0.25088608,0.020014077,0,128,2,3,2,10973.002792734653
2000-01-18,0.27351373,0.020061828,0,128,2,3,2,10973.992949453183
2000-01-19,0.23715633,0.020091455,0,128,2,3,2,10974.982799113728
2000-01-20,0.24676985,0.02840316,0,128,2,2,2,10976.258333333302
2000-01-21,0.25371212,0.02015014,0,128,2,3,2,10976.961025006603
2000-01-22,0.2576133,0.02842587,0,128,2,2,2,10978.241666666698
2000-01-23,0.2543887,0.02018891,0,128,2,3,2,10978.98062954098
2000-01-24,0.22588925,0.028540613,0,128,2,1,2,10979.71666666679
2000-01-25,0.20148857,0.020200128,0,128,2,3,2,10980.998540899716
2000-01-26,0.23162022,0.020190783,0,128,2,3,2,10981.990083339158
2000-01-27,0.2396856,0.028433865,0,128,2,2,2,10983.270833333489
2000-01-28,0.2350762,0.020255951,0,128,2,3,2,10983.975365503225
2000-01-29,0.23422986,0.0202596,0,128,2,3,2,10984.966005954426
