,sm,sm_uncertainty,flag,freqbandID,dnflag,mode,sensor,t0
2000-01-01,,,9,0,2,0,2,
2000-01-02,,,9,0,2,0,2,
2000-01-03,,,9,2,2,1,130,
2000-01-04,,,9,0,2,0,2,
2000-01-05,,,9,0,2,0,2,
2000-01-06,,,8,0,2,0,2,
2000-01-07,,,9,0,2,0,2,
2000-01-08,,,9,0,2,0,2,
2000-01-09,,,8,0,2,0,2,
2000-01-10,,,9,0,2,0,2,
2000-01-11,,,9,0,2,0,2,
2000-01-12,,,9,2,3,2,130,
2000-01-13,,,9,2,2,1,130,
2000-01-14,,,9,0,2,0,2,
2000-01-15,,,9,0,2,0,2,
2000-01-16,,,9,2,2,1,130,
2000-01-17,,,9,0,2,0,2,
2000-01-18,,,8,0,2,0,2,
2000-01-19,,,9,2,2,1,130,
2000-01-20,,,9,0,2,0,2,
2000-01-21,,,9,0,2,0,2,
2000-01-22,,,9,130,2,1,130,
2000-01-23,,,8,0,2,0,2,
2000-01-24,,,9,0,2,0,2,
2000-01-25,,,9,0,2,0,2,
2000-01-26,,,9,0,2,0,2,
2000-01-27,,,9,0,2,0,2,
2000-01-28,,,9,0,2,0,2,
2000-01-29,,,9,2,2,1,130,
2000-01-30,,,9,0,2,0,2,
2000-01-31,0.25163722,0.03820132,0,128,2,1,2,10986.649999999907
2000-02-01,,,1,130,2,3,130,
2000-02-02,0.2460861,0.02521028,0,128,2,3,2,10988.944380200468
2000-02-03,0.3000197,0.034099326,0,128,2,2,2,10990.208333333489
2000-02-04,,,1,130,2,3,130,
2000-02-05,0.27468684,0.024226591,0,128,2,3,2,10991.949293390848
2000-02-06,0.29406464,0.034153607,0,128,2,1,2,10992.670833333395
2000-02-07,,,9,130,2,1,130,
2000-02-08,0.25438926,0.03299251,0,128,2,1,2,10994.65416666679
2000-02-09,0.27360508,0.022199003,0,128,2,3,2,10995.950613192748
2000-02-10,0.30975235,0.021660501,0,128,2,3,2,10996.937558361795
2000-02-11,0.29886693,0.03034162,0,128,2,2,2,10998.208333333489
2000-02-12,0.30695912,0.03040352,0,128,2,2,2,10999.200000000186
2000-02-13,0.33119512,0.021317437,0,128,2,3,2,10999.932665171102
2000-02-14,,,8,0,2,0,2,
2000-02-15,0.30059588,0.030622743,0,128,2,1,2,11001.662500000093
2000-02-16,0.2932444,0.030215273,0,128,2,1,2,11002.65416666679
2000-02-17,0.2927332,0.020847239,0,128,2,3,2,11003.943403733894
2000-02-18,0.30844587,0.020720929,0,128,2,3,2,11004.93396545481
2000-02-19,,,8,0,2,0,2,
2000-02-20,,,1,130,2,3,130,
2000-02-21,0.30824614,0.020220233,0,128,2,3,2,11007.939057866577
2000-02-22,0.3181656,0.028743342,0,128,2,1,2,11008.670833333395
2000-02-23,0.2834097,0.018229105,0,130,2,1,130,11009.78438748978
2000-02-24,0.30472925,0.028469305,0,128,2,1,2,11010.65416666679
2000-02-25,0.2728703,0.020088712,0,128,2,3,2,11011.937706469558
2000-02-26,,,1,130,2,3,130,
2000-02-27,0.26907107,0.028619118,0,128,2,2,2,11014.208333333489
2000-02-28,0.28171274,0.028531197,0,128,2,2,2,11015.200000000186
2000-02-29,0.27998725,0.020084837,0,128,2,3,2,11015.93448749045
2000-03-01,0.27765495,0.02878448,0,128,2,1,2,11016.670833333395
2000-03-02,0.28070608,0.028742665,0,128,2,1,2,11017.662500000093
2000-03-03,0.28765127,0.028701354,0,128,2,1,2,11018.65416666679
2000-03-04,0.28670722,0.020265333,0,128,2,3,2,11019.940329954494
2000-03-05,0.28373796,0.020320438,0,128,2,3,2,11020.932337567676
2000-03-06,0.2609471,0.028560072,0,128,2,2,2,11022.212499999907
2000-03-07,0.26807082,0.028657196,0,128,2,2,2,11023.200000000186
2000-03-08,0.27373517,0.02057969,0,128,2,3,2,11023.94116942538
2000-03-09,0.28605798,0.029548628,0,128,2,1,2,11024.670833333395
2000-03-10,0.29012182,0.02101638,0,130,2,1,130,11025.763642270584
2000-03-11,0.26718572,0.030020678,0,128,2,1,2,11026.65416666679
2000-03-12,0.29619685,0.021034198,0,128,2,3,2,11027.946180934552
2000-03-13,,,1,130,2,3,130,
2000-03-14,0.27425614,0.030133722,0,128,2,2,2,11030.212499999907
2000-03-15,0.2699658,0.030319206,0,128,2,2,2,11031.200000000186
2000-03-16,0.27275878,0.021704886,0,128,2,3,2,11031.937602853868
2000-03-17,0.27428406,0.030743873,0,128,2,1,2,11032.670833333395
2000-03-18,0.27444297,0.031001894,0,128,2,1,2,11033.662500000093
2000-03-19,0.25791812,0.031384982,0,128,2,1,2,11034.65416666679
2000-03-20,0.26847103,0.022402368,0,128,2,3,2,11035.938591196667
2000-03-21,0.26932347,0.022618134,0,128,2,3,2,11036.92914529657
2000-03-22,0.25826955,0.032013234,0,128,2,2,2,11038.212499999907
2000-03-23,0.24563427,0.02886837,0,128,2,2,2,11039.200000000186
2000-03-24,0.2553799,0.01883211,0,128,2,3,2,11039.896089465357
2000-03-25,0.26517415,0.02756663,0,128,2,1,2,11040.670833333395
2000-03-26,0.2785632,0.02699355,0,128,2,1,2,11041.662500000093
2000-03-27,0.2574262,0.027303185,0,128,2,1,2,11042.65416666679
2000-03-28,0.28811413,0.022530016,0,128,2,3,2,11043.916200330947
2000-03-29,0.2594224,0.032565404,0,128,2,2,2,11045.22083333321
2000-03-30,0.24084534,0.03270816,0,128,2,2,2,11046.212499999907
2000-03-31,0.27320397,0.032553565,0,128,2,2,2,11047.200000000186
2000-04-01,0.23811059,0.018369071,0,130,2,3,130,11047.915748807602
2000-04-02,0.25896955,0.0329862,0,128,2,1,2,11048.670833333395
2000-04-03,0.29067457,0.03199676,0,128,2,1,2,11049.662500000093
2000-04-04,0.27025822,0.0331573,0,128,2,1,2,11050.65416666679
2000-04-05,0.2703175,0.023741486,0,128,2,3,2,11051.935526638292
2000-04-06,0.30022544,0.023798395,0,128,2,3,2,11052.923129301518
2000-04-07,0.26797664,0.032959126,0,128,2,2,2,11054.212499999907
2000-04-08,0.25052202,0.022848029,0,130,2,3,130,11055.021167124156
2000-04-09,0.25772288,0.02366522,0,128,2,3,2,11055.927224365529
2000-04-10,0.25170958,0.033175293,0,128,2,1,2,11056.670833333395
2000-04-11,0.24625763,0.022236725,0,130,2,1,130,11057.757163478527
2000-04-12,0.25504327,0.03217164,0,128,2,1,2,11058.65416666679
2000-04-13,0.2576808,0.021014323,0,128,2,3,2,11059.971270100214
2000-04-14,0.2285915,0.017636836,0,130,2,3,130,11060.934727181215
2000-04-15,0.24577153,0.028277542,0,128,2,2,2,11062.208333333489
2000-04-16,,,8,0,2,0,2,
2000-04-17,0.2275795,0.017653285,0,130,2,3,130,11063.940010249149
2000-04-18,0.2600657,0.034726083,0,128,2,1,2,11064.670833333395
2000-04-19,0.23478262,0.03466523,0,128,2,1,2,11065.662500000093
2000-04-20,0.26370052,0.032188825,0,2,2,1,128,11066.87381299818
2000-04-21,0.25979647,0.017506959,0,128,2,3,2,11067.973418089096
2000-04-22,0.21379422,0.016700381,0,128,2,3,2,11068.936602922156
2000-04-23,0.2138578,0.023549506,0,128,2,2,2,11070.208333333489
2000-04-24,0.25118065,0.024567733,0,128,2,2,2,11071.200000000186
2000-04-25,0.23221545,0.017237732,0,128,2,3,2,11071.927901879884
2000-04-26,0.28353846,0.027002221,0,128,2,1,2,11072.670833333395
2000-04-27,0.26607856,0.029409558,0,128,2,1,2,11073.662500000093
2000-04-28,0.2368236,0.03098026,0,128,2,1,2,11074.65416666679
2000-04-29,0.23514466,0.020049067,0,128,2,3,2,11076.025279906578
2000-04-30,0.25612178,0.026629744,0,128,2,2,2,11077.21666666679
2000-05-01,0.25627154,0.024903383,0,128,2,2,2,11078.208333333489
2000-05-02,0.2647387,0.024878427,0,128,2,2,2,11079.200000000186
2000-05-03,0.24905612,0.01786822,0,130,3,3,130,11080.112362463027
2000-05-04,0.24784903,0.03436431,0,128,2,1,2,11080.670833333395
2000-05-05,,,8,0,2,0,2,
2000-05-06,0.247017,0.020447947,0,128,2,3,2,11083.026597344782
2000-05-07,0.21680477,0.020457795,0,128,2,3,2,11084.012956040446
2000-05-08,0.24124876,0.025717959,0,128,2,2,2,11085.21666666679
2000-05-09,0.19795029,0.024308633,0,128,2,2,2,11086.208333333489
2000-05-10,0.17365134,0.027512098,0,128,2,2,2,11087.200000000186
2000-05-11,0.20591362,0.021494878,0,128,2,3,2,11087.989578494336
2000-05-12,0.182452,0.031943873,0,128,2,1,2,11088.670833333395
2000-05-13,0.15620646,0.031079942,0,128,2,1,2,11089.65833333321
2000-05-14,0.24293345,0.018974764,0,128,2,3,2,11091.015885069035
2000-05-15,0.24290787,0.01977771,0,128,2,3,2,11092.032210886013
2000-05-16,0.19657011,0.02061775,0,130,2,3,130,11093.080267147161
2000-05-17,0.20922619,0.026700681,0,128,2,2,2,11094.208333333489
2000-05-18,0.23401125,0.026782716,0,128,2,2,2,11095.200000000186
2000-05-19,0.21424872,0.02070392,0,128,2,3,2,11095.999798790552
2000-05-20,0.1813191,0.033618428,0,128,2,1,2,11096.666666666511
2000-05-21,0.21666418,0.039908417,0,128,2,1,2,11097.65833333321
2000-05-22,0.19988269,0.019138906,0,130,2,3,130,11098.97224588506
2000-05-23,0.25130597,0.023554578,0,128,2,3,2,11100.013624951243
2000-05-24,0.11066773,0.03234039,0,128,2,2,2,11101.21666666679
2000-05-25,0.24385498,0.03239788,0,128,2,2,2,11102.208333333489
2000-05-26,0.25263518,0.025753777,0,128,2,3,2,11102.983733044472
2000-05-27,0.20997685,0.025969403,0,128,2,3,2,11103.97902082419
2000-05-28,0.18531457,0.04097136,0,128,2,1,2,11104.666666666511
2000-05-29,0.1697402,0.040884197,0,128,2,1,2,11105.65833333321
2000-05-30,0.22965494,0.0355923,0,128,2,2,2,11107.233333333395
2000-05-31,0.22529358,0.026940139,0,128,2,3,2,11107.97101066215
2000-06-01,0.26976416,0.035772778,0,128,2,2,2,11109.21666666679
2000-06-02,0.2798202,0.033246074,0,128,2,2,2,11110.208333333489
2000-06-03,0.2038693,0.038557764,0,128,2,2,2,11111.200000000186
2000-06-04,0.18872929,0.021299848,0,130,2,3,130,11111.911227578763
2000-06-05,0.2168523,0.040238958,0,128,2,1,2,11112.666666666511
2000-06-06,0.2524402,0.040493414,0,128,2,1,2,11113.65833333321
2000-06-07,0.21837048,0.027639065,0,128,2,3,2,11114.96141739795
2000-06-08,0.18968123,0.027919574,0,128,2,3,2,11115.942839686759
2000-06-09,0.2609008,0.03947304,0,128,2,2,2,11117.21666666679
2000-06-10,0.18896839,0.02433093,0,130,2,3,130,11117.990249356255
2000-06-11,0.2302104,0.029750058,0,128,2,3,2,11118.949564270675
2000-06-12,0.16095173,0.029757474,0,128,2,3,2,11119.939986299723
2000-06-13,0.19828606,0.042928893,0,128,2,1,2,11120.666666666511
2000-06-14,0.16777475,0.04310618,0,128,2,1,2,11121.65833333321
2000-06-15,0.1645729,0.030736798,0,128,2,3,2,11122.948874488939
2000-06-16,0.1976733,0.03047215,0,128,2,3,2,11123.941985726822
2000-06-17,0.19759707,0.024731036,0,130,2,3,130,11124.979221166577
2000-06-18,0.20594946,0.04219376,0,128,2,2,2,11126.204166666605
2000-06-19,0.24854285,0.030667806,0,128,2,3,2,11126.956896923482
2000-06-20,0.21372265,0.03147517,0,128,2,3,2,11127.945470208302
2000-06-21,0.18579796,0.046488054,0,128,2,1,2,11128.666666666511
2000-06-22,0.20700973,0.047257293,0,128,2,1,2,11129.65833333321
2000-06-23,0.16004364,0.032086786,0,128,2,3,2,11130.959526536055
2000-06-24,0.17309462,0.03258951,0,128,2,3,2,11131.950550389476
2000-06-25,0.2180928,0.04473902,0,128,2,2,2,11133.212499999907
2000-06-26,0.18605262,0.024736451,0,130,2,3,130,11133.970178570133
2000-06-27,0.22756435,0.033050116,0,128,2,3,2,11134.957795562688
2000-06-28,0.24716003,0.046171688,0,128,2,2,2,11136.1875
2000-06-29,0.17228535,0.025236398,0,130,2,1,130,11136.817343954463
2000-06-30,,,8,0,2,0,2,
2000-07-01,0.19185597,0.033372913,0,128,2,3,2,11138.955910549965
2000-07-02,0.23122759,0.033312995,0,128,2,3,2,11139.945042715874
2000-07-03,0.1767347,0.046528075,0,128,2,2,2,11141.212499999907
2000-07-04,0.16602495,0.046090767,0,128,2,2,2,11142.204166666605
2000-07-05,0.20445724,0.03459102,0,128,2,3,2,11142.953355584294
2000-07-06,0.16100128,0.02218858,0,130,2,3,130,11143.896335755475
2000-07-07,0.11862087,0.05014493,0,128,2,1,2,11144.662500000093
2000-07-08,0.21158612,0.04990156,0,128,2,1,2,11145.65416666679
2000-07-09,0.192496,0.034305457,0,128,2,3,2,11146.950247688685
2000-07-10,0.17755224,0.0347779,0,128,2,3,2,11147.934973441996
2000-07-11,0.2323926,0.048786834,0,128,2,2,2,11149.212499999907
2000-07-12,0.1721679,0.02449597,0,130,2,3,130,11149.955077044666
2000-07-13,,,8,0,2,0,2,
2000-07-14,,,16,128,2,1,2,
2000-07-15,,,16,128,2,1,2,
2000-07-16,,,16,128,2,1,2,
2000-07-17,0.2655721,0.034503844,0,128,2,3,2,11154.943761012051
2000-07-18,0.2585715,0.021995861,0,130,3,3,130,11156.20084602898
2000-07-19,0.24802771,0.048208658,0,128,2,2,2,11157.212499999907
2000-07-20,0.21377882,0.04783217,0,128,2,2,2,11158.204166666605
2000-07-21,0.26767012,0.034133498,0,128,2,3,2,11158.939526332077
2000-07-22,,,16,128,2,1,2,
2000-07-23,,,16,128,2,1,2,
2000-07-24,,,16,128,2,1,2,
2000-07-25,0.20184217,0.02206395,0,130,2,3,130,11162.894667654764
2000-07-26,,,16,128,2,2,2,
2000-07-27,,,16,128,2,2,2,
2000-07-28,0.19985616,0.02478042,0,130,2,3,130,11165.958330822177
2000-07-29,0.17339711,0.033296425,0,128,2,3,2,11166.936959415674
2000-07-30,,,16,128,2,1,2,
2000-07-31,0.1965593,0.024098117,0,130,2,1,130,11168.816445186269
2000-08-01,0.25994533,0.03295009,0,128,2,3,2,11169.955018277746
2000-08-02,0.18187039,0.033003736,0,128,2,3,2,11170.945214843843
2000-08-03,0.19169657,0.046022825,0,128,2,2,2,11172.21666666679
2000-08-04,0.20573086,0.046060804,0,128,2,2,2,11173.208333333489
2000-08-05,0.16292672,0.032729223,0,128,2,3,2,11173.948640129529
2000-08-06,0.186831,0.021273013,0,130,3,3,130,11175.19553973712
2000-08-07,,,16,128,2,1,2,
2000-08-08,,,16,128,2,1,2,
2000-08-09,0.21491289,0.032337736,0,128,2,3,2,11177.953926010523
2000-08-10,0.18788697,0.021261266,0,130,2,3,130,11178.895360051189
2000-08-11,0.18635751,0.045214176,0,128,2,2,2,11180.21666666679
2000-08-12,0.16867399,0.04562986,0,128,2,2,2,11181.208333333489
2000-08-13,0.18354052,0.021310857,0,130,2,3,130,11181.900697854813
2000-08-14,0.20474085,0.032519586,0,128,2,3,2,11182.94201281108
2000-08-15,,,16,128,2,1,2,
2000-08-16,,,16,128,2,1,2,
2000-08-17,0.16153015,0.03276817,0,128,2,3,2,11185.950855255127
2000-08-18,0.19577126,0.0328998,0,128,2,3,2,11186.940801368095
2000-08-19,0.1779386,0.02441847,0,130,2,3,130,11187.969791505486
2000-08-20,0.17732824,0.045073066,0,128,2,2,2,11189.208333333489
2000-08-21,0.1576228,0.032329477,0,128,2,3,2,11189.958321483806
2000-08-22,0.17710312,0.03253018,0,128,2,3,2,11190.944141470827
2000-08-23,0.1773946,0.047254674,0,128,2,1,2,11191.666666666511
2000-08-24,0.22438063,0.047311585,0,128,2,1,2,11192.65833333321
2000-08-25,0.19970524,0.03352848,0,128,2,3,2,11193.941139200702
2000-08-26,0.16831301,0.022113556,0,130,2,3,130,11194.889745372813
2000-08-27,0.1531327,0.047642898,0,128,2,2,2,11196.21666666679
