,sm,sm_uncertainty,flag,freqbandID,dnflag,mode,sensor,t0
2000-01-01,0.26417163,0.02195088,0,128,2,2,2,10957.287500000093
2000-01-02,0.27408862,0.014927782,0,128,2,3,2,10958.00475461781
2000-01-03,0.26917607,0.012323801,0,130,2,3,130,10958.978019163478
2000-01-04,0.24433069,0.014781363,0,128,2,3,2,10959.985945746768
2000-01-05,0.25331664,0.020193655,0,128,2,1,2,10960.737499999814
2000-01-06,0.25911465,0.020174854,0,128,2,1,2,10961.729166666511
2000-01-07,0.26444608,0.014648092,0,128,2,3,2,10962.994086834136
2000-01-08,0.27035648,0.021378966,0,128,2,2,2,10964.295833333395
2000-01-09,0.3698895,0.02133231,0,128,2,2,2,10965.287499999627
2000-01-10,0.2593123,0.014645308,0,128,2,3,2,10966.01060070144
2000-01-11,0.27516073,0.014573147,0,128,2,3,2,10967.000020771753
2000-01-12,,,1,128,2,2,2,
2000-01-13,0.2521,0.020283742,0,128,2,1,2,10968.737499999814
2000-01-14,0.25703883,0.020369193,0,128,2,1,2,10969.729166666511
2000-01-15,,,1,130,2,3,130,
2000-01-16,0.25672284,0.02070445,0,128,2,2,2,10972.295833333395
2000-01-17,0.26261055,0.020560512,0,128,2,2,2,10973.287500000093
2000-01-18,0.29186448,0.014050429,0,128,2,3,2,10974.011521758512
2000-01-19,0.26749134,0.01401941,0,128,2,3,2,10975.004666382913
2000-01-20,0.27079585,0.014012008,0,128,2,3,2,10975.992563520093
2000-01-21,0.26119867,0.019334054,0,128,2,1,2,10976.737499999814
2000-01-22,0.26357615,0.019250447,0,128,2,1,2,10977.729166666511
2000-01-23,0.25543043,0.019167827,0,128,2,1,2,10978.72083333321
2000-01-24,0.2608636,0.020133387,0,128,2,2,2,10980.299999999814
2000-01-25,,,8,0,2,0,2,
2000-01-26,,,8,0,2,0,2,
2000-01-27,,,1,128,2,2,2,
2000-01-28,0.27356756,0.013950448,0,128,2,3,2,10983.997157394886
2000-01-29,0.28287953,0.019527923,0,128,2,1,2,10984.737499999814
2000-01-30,0.28243053,0.019640647,0,128,2,1,2,10985.729166666511
2000-01-31,0.26382205,0.014072081,0,128,2,3,2,10987.009804571979
2000-02-01,0.26615655,0.020121714,0,128,2,2,2,10988.299999999814
2000-02-02,0.27624553,0.020247448,0,128,2,2,2,10989.287500000093
2000-02-03,0.27778977,0.014337893,0,128,2,3,2,10990.020504454616
2000-02-04,0.27441302,0.014452505,0,128,2,3,2,10991.013606864028
2000-02-05,0.26519763,0.014492927,0,128,2,3,2,10992.005699090194
2000-02-06,0.26483622,0.020628653,0,128,2,1,2,10992.741666666698
2000-02-07,0.25808802,0.020766519,0,128,2,1,2,10993.729166666511
2000-02-08,0.26693448,0.01476454,0,128,2,3,2,10995.013787882403
2000-02-09,0.2686532,0.020910477,0,128,2,2,2,10996.299999999814
2000-02-10,0.26210153,0.021072015,0,128,2,2,2,10997.291666666511
2000-02-11,0.25575656,0.021090498,0,128,2,2,2,10998.27916666679
2000-02-12,0.26621836,0.015123999,0,128,2,3,2,10999.019318242092
2000-02-13,0.2749916,0.015175368,0,128,2,3,2,11000.01100021042
2000-02-14,0.2547435,0.022032391,0,128,2,1,2,11000.741666666698
2000-02-15,0.25976267,0.022312146,0,128,2,1,2,11001.733333333395
2000-02-16,0.2617203,0.015577704,0,128,2,3,2,11003.026436279062
2000-02-17,0.275712,0.021808,0,128,2,2,2,11004.299999999814
2000-02-18,0.26491544,0.022013362,0,128,2,2,2,11005.291666666511
2000-02-19,0.28022525,0.022117293,0,128,2,2,2,11006.28333333321
2000-02-20,0.2682349,0.016098902,0,128,2,3,2,11007.030916076154
2000-02-21,0.26208064,0.016135378,0,128,2,3,2,11008.021174884401
2000-02-22,0.27689233,0.02367578,0,128,2,1,2,11008.741666666698
2000-02-23,0.3020255,0.023798341,0,128,2,1,2,11009.733333333395
2000-02-24,0.27148983,0.022949072,0,128,2,2,2,11011.308333333116
2000-02-25,0.2657253,0.023003291,0,128,2,2,2,11012.299999999814
2000-02-26,0.25517496,0.023187649,0,128,2,2,2,11013.291666666511
2000-02-27,0.25754222,0.023168553,0,128,2,2,2,11014.28333333321
2000-02-28,0.25199348,0.01699748,0,128,2,3,2,11015.032092659734
2000-02-29,0.2638693,0.01710684,0,128,2,3,2,11016.028274330776
2000-03-01,0.26614493,0.02520472,0,128,2,1,2,11016.741666666698
2000-03-02,0.27035195,0.025258372,0,128,2,1,2,11017.733333333395
2000-03-03,0.26327097,0.017422281,0,128,2,3,2,11019.030781371985
