,sm,sm_uncertainty,flag,freqbandID,dnflag,mode,sensor,t0
2000-01-01,,,9,0,2,0,2,
2000-01-02,,,8,0,2,0,2,
2000-01-03,,,8,0,2,0,2,
2000-01-04,,,9,0,2,0,2,
2000-01-05,,,9,0,2,0,2,
2000-01-06,,,9,0,2,0,2,
2000-01-07,,,9,2,2,1,130,
2000-01-08,,,9,0,2,0,2,
2000-01-09,,,9,0,2,0,2,
2000-01-10,,,9,0,2,0,2,
2000-01-11,,,9,0,2,0,2,
2000-01-12,,,9,0,2,0,2,
2000-01-13,,,8,0,2,0,2,
2000-01-14,,,9,0,2,0,2,
2000-01-15,,,9,0,2,0,2,
2000-01-16,,,9,0,2,0,2,
2000-01-17,,,9,0,2,0,2,
2000-01-18,,,8,0,2,0,2,
2000-01-19,,,9,2,2,1,130,
2000-01-20,,,8,0,2,0,2,
2000-01-21,,,9,0,2,0,2,
2000-01-22,,,9,0,2,0,2,
2000-01-23,,,8,0,2,0,2,
2000-01-24,,,9,0,2,0,2,
2000-01-25,,,8,0,2,0,2,
2000-01-26,,,9,2,2,1,130,
2000-01-27,,,9,0,2,0,2,
2000-01-28,,,8,0,2,0,2,
2000-01-29,,,8,0,2,0,2,
2000-01-30,,,9,0,2,0,2,
2000-01-31,,,8,0,2,0,2,
2000-02-01,,,9,2,2,1,130,
2000-02-02,,,8,0,2,0,2,
2000-02-03,,,9,0,2,0,2,
2000-02-04,,,8,0,2,0,2,
2000-02-05,,,1,0,2,0,2,
2000-02-06,,,8,0,2,0,2,
2000-02-07,,,1,0,2,0,2,
2000-02-08,,,9,0,2,0,2,
2000-02-09,0.2508275,0.040041775,0,128,2,1,2,10995.712499999907
2000-02-10,,,9,0,2,0,2,
2000-02-11,,,8,0,2,0,2,
2000-02-12,,,8,0,2,0,2,
2000-02-13,,,8,0,2,0,2,
2000-02-14,,,12,2,2,1,130,
2000-02-15,,,8,0,2,0,2,
2000-02-16,,,8,0,2,0,2,
2000-02-17,,,8,0,2,0,2,
2000-02-18,,,8,0,2,0,2,
2000-02-19,,,8,0,2,0,2,
2000-02-20,,,13,2,2,1,130,
2000-02-21,,,8,0,2,0,2,
2000-02-22,,,9,0,2,0,2,
2000-02-23,,,8,0,2,0,2,
2000-02-24,,,8,0,2,0,2,
2000-02-25,,,8,0,2,0,2,
2000-02-26,,,8,0,2,0,2,
2000-02-27,0.19202265,0.01989754,0,2,2,1,128,11013.919444491155
2000-02-28,,,9,0,2,0,2,
2000-02-29,,,8,0,2,0,2,
2000-03-01,,,9,0,2,0,2,
2000-03-02,,,8,0,2,0,2,
2000-03-03,,,8,0,2,0,2,
2000-03-04,,,9,2,2,1,130,
2000-03-05,,,9,0,2,0,2,
2000-03-06,,,8,0,2,0,2,
2000-03-07,,,9,0,2,0,2,
2000-03-08,,,8,0,2,0,2,
2000-03-09,0.31070563,0.039542116,0,128,2,1,2,11024.741666666698
2000-03-10,,,9,0,2,0,2,
2000-03-11,,,8,0,2,0,2,
2000-03-12,,,8,0,2,0,2,
2000-03-13,,,8,0,2,0,2,
2000-03-14,0.29719242,0.039171237,0,128,2,2,2,11030.28333333321
2000-03-15,,,8,0,2,0,2,
2000-03-16,,,9,0,2,0,2,
2000-03-17,,,9,2,2,1,130,
2000-03-18,,,8,0,2,0,2,
2000-03-19,,,8,0,2,0,2,
2000-03-20,,,9,2,2,1,130,
2000-03-21,,,8,0,2,0,2,
2000-03-22,,,8,0,2,0,2,
2000-03-23,,,9,2,2,1,130,
2000-03-24,,,8,0,2,0,2,
2000-03-25,,,9,0,2,0,2,
2000-03-26,,,8,0,2,0,2,
2000-03-27,,,8,0,2,0,2,
2000-03-28,,,8,0,2,0,2,
2000-03-29,,,9,0,2,0,2,
2000-03-30,,,9,0,2,0,2,
2000-03-31,,,8,0,2,0,2,
2000-04-01,,,9,0,2,0,2,
2000-04-02,,,9,0,2,0,2,
2000-04-03,,,8,0,2,0,2,
2000-04-04,,,8,0,2,0,2,
2000-04-05,,,9,2,2,1,130,
2000-04-06,,,9,0,2,0,2,
2000-04-07,,,8,0,2,0,2,
2000-04-08,,,9,2,2,1,130,
2000-04-09,,,8,0,2,0,2,
2000-04-10,,,8,0,2,0,2,
2000-04-11,,,9,2,2,1,130,
2000-04-12,,,8,0,2,0,2,
2000-04-13,,,8,0,2,0,2,
2000-04-14,,,8,0,2,0,2,
2000-04-15,,,9,0,2,0,2,
2000-04-16,,,9,0,2,0,2,
2000-04-17,,,8,0,2,0,2,
2000-04-18,,,8,0,2,0,2,
2000-04-19,,,1,0,2,0,2,
2000-04-20,0.23596436,0.035001397,0,128,2,1,2,11066.725000000093
2000-04-21,0.16821495,0.034935586,0,128,2,1,2,11067.712499999907
2000-04-22,0.19712508,0.03502706,0,128,2,1,2,11068.704166666605
2000-04-23,,,8,0,2,0,2,
2000-04-24,,,9,0,2,0,2,
2000-04-25,,,8,0,2,0,2,
2000-04-26,,,1,128,2,1,2,
2000-04-27,,,1,2,2,1,130,
2000-04-28,,,9,0,2,0,2,
2000-04-29,,,9,0,2,0,2,
2000-04-30,,,1,0,2,0,2,
2000-05-01,,,8,0,2,0,2,
2000-05-02,,,9,0,2,0,2,
2000-05-03,0.13830382,0.031478293,0,128,2,2,2,11080.262500000186
2000-05-04,0.2650134,0.033084475,0,128,2,1,2,11080.741666666698
